*******************************************************************************
 Revised: June 21, 2016                 Mars                            499 / 4
 
 PHYSICAL DATA (updated 2019-Oct-29):
  Vol. mean radius (km) = 3389.92+-0.04   Density (g/cm^3)      =  3.933(5+-4)
  Mass x10^23 (kg)      =    6.4171       Flattening, f         =  1/169.779
  Volume (x10^10 km^3)  =   16.318        Equatorial radius (km)=  3396.19
  Sidereal rot. period  =   24.622962 hr  Sid. rot. rate, rad/s =  0.0000708822 
  Mean solar day (sol)  =   88775.24415 s Polar gravity m/s^2   =  3.758
  Core radius (km)      = ~1700           Equ. gravity  m/s^2   =  3.71
  Geometric Albedo      =    0.150                                              

  GM (km^3/s^2)         = 42828.375214    Mass ratio (Sun/Mars) = 3098703.59
  GM 1-sigma (km^3/s^2) = +- 0.00028      Mass of atmosphere, kg= ~ 2.5 x 10^16
  Mean temperature (K)  =  210            Atmos. pressure (bar) =    0.0056 
  Obliquity to orbit    =   25.19 deg     Max. angular diam.    =  17.9"
  Mean sidereal orb per =    1.88081578 y Visual mag. V(1,0)    =  -1.52
  Mean sidereal orb per =  686.98 d       Orbital speed,  km/s  =  24.13
  Hill's sphere rad. Rp =  319.8          Escape speed, km/s    =   5.027
                                 Perihelion  Aphelion    Mean
  Solar Constant (W/m^2)         717         493         589
  Maximum Planetary IR (W/m^2)   470         315         390
  Minimum Planetary IR (W/m^2)    30          30          30
*******************************************************************************


*******************************************************************************
Ephemeris / WWW_USER Sat Jul 23 02:45:45 2022 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Mars (499)                      {source: mar097}
Center body name: Earth (399)                     {source: mar097}
Center-site name: GEOCENTRIC
*******************************************************************************
Start time      : A.D. 2013-Jan-01 00:00:00.0000 UT      
Stop  time      : A.D. 2024-Jan-01 00:00:00.0000 UT      
Step-size       : 1440 minutes
*******************************************************************************
Target pole/equ : IAU_MARS                        {West-longitude positive}
Target radii    : 3396.2 x 3396.2 x 3376.2 km     {Equator, meridian, pole}    
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : ITRF93                          {East-longitude positive}
Center radii    : 6378.1 x 6378.1 x 6356.8 km     {Equator, meridian, pole}    
Target primary  : Sun
Vis. interferer : MOON (R_eq= 1737.400) km        {source: mar097}
Rel. light bend : Sun, EARTH                      {source: mar097}
Rel. lght bnd GM: 1.3271E+11, 3.9860E+05 km^3/s^2                              
Atmos refraction: NO (AIRLESS)
RA format       : HMS
Time format     : CAL 
EOP file        : eop.220722.p221014                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2022-JUL-22. PREDICTS-> 2022-OCT-13
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass (>38.000=NO), Daylight (NO )
Table cut-offs 2: Solar elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table cut-offs 3: RA/DEC angular rate (     0.0=NO )                           
******************************************************************************************************************************************************************
 Date__(UT)__HR:MN     R.A._____(ICRF)_____DEC      Illu%  Ang-diam                r        rdot             delta      deldot     S-O-T /r     S-T-O  App_Lon_Sun
******************************************************************************************************************************************************************
$$SOE
 2013-Jan-01 00:00     20 28 30.80 -20 15 10.6   97.87676  4.209103   1.385421594102  -0.5779732  2.22501078658148   4.1087793   23.9759 /T   16.7625  236.2172641
 2013-Jan-02 00:00     20 31 45.53 -20 03 38.3   97.91532  4.204626   1.385094750479  -0.5538603  2.22738003892761   4.0955345   23.7429 /T   16.6085  236.8484853
 2013-Jan-03 00:00     20 34 59.88 -19 51 52.7   97.95356  4.200173   1.384781855778  -0.5296692  2.22974166475997   4.0823548   23.5102 /T   16.4545  237.4799981
 2013-Jan-04 00:00     20 38 13.85 -19 39 53.9   97.99147  4.195743   1.384482954192  -0.5054032  2.23209567070657   4.0691324   23.2777 /T   16.3004  238.1117900
 2013-Jan-05 00:00     20 41 27.42 -19 27 42.2   98.02906  4.191337   1.384198087985  -0.4810657  2.23444200030476   4.0557572   23.0456 /T   16.1462  238.7438483
 2013-Jan-06 00:00     20 44 40.60 -19 15 17.7   98.06632  4.186955   1.383927297478  -0.4566600  2.23678053389730   4.0421213   22.8138 /T   15.9918  239.3761604
 2013-Jan-07 00:00     20 47 53.38 -19 02 40.5   98.10327  4.182597   1.383670621038  -0.4321897  2.23911109222330   4.0281280   22.5822 /T   15.8374  240.0087135
 2013-Jan-08 00:00     20 51 05.75 -18 49 50.8   98.13989  4.178264   1.383428095063  -0.4076581  2.24143344631001   4.0137047   22.3509 /T   15.6829  240.6414948
 2013-Jan-09 00:00     20 54 17.72 -18 36 48.9   98.17618  4.173955   1.383199753976  -0.3830686  2.24374733631888   3.9988200   22.1199 /T   15.5282  241.2744915
 2013-Jan-10 00:00     20 57 29.27 -18 23 34.9   98.21214  4.169671   1.382985630208  -0.3584247  2.24605250037996   3.9835005   21.8893 /T   15.3735  241.9076908
 2013-Jan-11 00:00     21 00 40.41 -18 10 08.9   98.24778  4.165413   1.382785754195  -0.3337297  2.24834871079117   3.9678381   21.6589 /T   15.2187  242.5410796
 2013-Jan-12 00:00     21 03 51.12 -17 56 31.3   98.28308  4.161180   1.382600154363  -0.3089873  2.25063581046230   3.9519827   21.4288 /T   15.0638  243.1746451
 2013-Jan-13 00:00     21 07 01.41 -17 42 42.2   98.31804  4.156972   1.382428857120  -0.2842010  2.25291374003594   3.9361179   21.1991 /T   14.9088  243.8083741
 2013-Jan-14 00:00     21 10 11.26 -17 28 41.8   98.35266  4.152790   1.382271886848  -0.2593742  2.25518254826632   3.9204289   20.9697 /T   14.7537  244.4422536
 2013-Jan-15 00:00     21 13 20.67 -17 14 30.4   98.38694  4.148633   1.382129265896  -0.2345104  2.25744238438826   3.9050745   20.7407 /T   14.5986  245.0762705
 2013-Jan-16 00:00     21 16 29.64 -17 00 08.0   98.42088  4.144500   1.382001014570  -0.2096133  2.25969347755112   3.8901714   20.5119 /T   14.4435  245.7104117
 2013-Jan-17 00:00     21 19 38.17 -16 45 35.0   98.45446  4.140391   1.381887151133  -0.1846864  2.26193611127997   3.8757920   20.2836 /T   14.2883  246.3446639
 2013-Jan-18 00:00     21 22 46.25 -16 30 51.5   98.48770  4.136305   1.381787691794  -0.1597331  2.26417059978650   3.8619717   20.0555 /T   14.1332  246.9790141
